,positionName,companyShortName,companySize,industryField,financeStage,companyLabelList,firstType,secondType,thirdType,city,district,salary,salaryMonth,workYear,jobNature,education,positionAdvantage,latitude,longitude,neededSkills
0,高级/资深业务数据分析师,拉勾网,500-2000人,企业服务,D轮及以上,"['五险一金', '弹性工作', '带薪年假', '免费两餐']",开发|测试|运维类,数据开发,数据分析,北京,海淀区,20k-40k,13,3-5年,全职,本科,领导Nice，能力提升，团队氛围好，稳定职业,39.982128,116.307747,"['python', 'R', 'Spark', '建业务分析模型', '教育']"
1,02326I-数据分析师,平安人寿,2000人以上,金融,上市公司,"['绩效奖金', '带薪年假', '定期体检', '节日礼物']",产品|需求|项目类,数据分析,BI,上海,浦东新区,12k-22k,0,1-3年,全职,本科,"五险一金,带薪年假,定期体检,免费班车",31.238157,121.666906,"['数据库', '保险', '数据分析', '互联网金融', '商业', 'BI']"
2,02324X-用户运营（数据分析方向）,平安人寿,2000人以上,金融,上市公司,"['绩效奖金', '带薪年假', '定期体检', '节日礼物']",运营|编辑|客服类,运营,数据运营,上海,浦东新区,10k-20k,0,1-3年,全职,本科,"五险一金,带薪年假,定期体检,免费班车",31.238157,121.666906,"['保险', '互联网金融', '数据分析']"
3,游戏数据分析,快手,2000人以上,文娱丨内容,D轮及以上,"['股票期权', '弹性工作', '定期体检', '岗位晋升']",产品|需求|项目类,数据分析,数据分析,北京,海淀区,15k-30k,0,3-5年,全职,本科,福利完善,40.053389,116.298440,['数据分析']
4,数据分析师,字节跳动,2000人以上,文娱丨内容,C轮,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",产品|需求|项目类,数据分析,数据分析,北京,海淀区,15k-30k,0,1-3年,全职,本科,"免费三餐,带薪休假,弹性工作,六险一金",39.971819,116.328708,['数据分析']
5,数据分析师,跟谁学,2000人以上,"移动互联网,教育",上市公司,"['节日礼物', '技能培训', '股票期权', '精英团队']",产品|需求|项目类,产品经理,数据分析师,北京,海淀区,15k-25k,0,3-5年,全职,本科,上市公司 独角兽 平台发展好 团队年轻化,40.048632,116.282935,"['在线教育产品', '数据分析']"
6,数据分析师,字节跳动,2000人以上,文娱丨内容,C轮,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",产品|需求|项目类,数据分析,数据分析,上海,闵行区,11k-22k,0,1-3年,全职,本科,"下午茶,健身瑜伽,六险一金,团队氛围好",31.168496,121.386878,"['产品', '数据分析']"
7,数据分析师,拉勾网,500-2000人,企业服务,D轮及以上,"['五险一金', '弹性工作', '带薪年假', '免费两餐']",产品|需求|项目类,数据分析,数据分析,北京,海淀区,10k-20k,0,1-3年,全职,本科,福利待遇好，周末双休，提供午餐和晚餐,39.982128,116.307747,['数据分析']
8,数据分析师,百变大侦探,15-50人,"移动互联网,文娱丨内容",不需要融资,"['年底双薪', '带薪年假', '股票期权', '扁平管理']",产品|需求|项目类,产品经理,数据分析师,北京,朝阳区,15k-25k,0,3-5年,全职,本科,五险一金 免费工作餐 定期体检,39.974830,116.500218,"['用户增长', '需求分析', '用户研究', '数据分析']"
9,数据分析,世纪佳缘,2000人以上,移动互联网,上市公司,"['节日礼物', '技能培训', '绩效奖金', '岗位晋升']",开发|测试|运维类,数据开发,数据分析,北京,朝阳区,15k-25k,0,3-5年,全职,本科,"六险一金,成熟团队,上升空间",39.974358,116.406840,"['sql', '数据分析', '社交']"
10,数据分析师,世纪佳缘,2000人以上,移动互联网,上市公司,"['节日礼物', '技能培训', '绩效奖金', '岗位晋升']",产品|需求|项目类,产品经理,数据分析师,北京,朝阳区,11k-20k,0,不限,全职,本科,成熟团队，上升空间,39.974358,116.406840,['数据分析']
11,数据分析师,优车库,50-150人,"移动互联网,消费生活",A轮,"['年底双薪', '股票期权', '专项奖金', '带薪年假']",开发|测试|运维类,数据开发,数据分析,深圳,福田区,8k-15k,0,1-3年,全职,本科,发展前景、环境优美、团队氛围好,22.507374,114.045254,"['SQLServer', '数仓建模', '新零售', '数据仓库', '汽车', 'Python']"
12,数据分析师,智器云,50-150人,"数据服务,企业服务",B轮,"['股票期权', '绩效奖金', '带薪年假', '通讯津贴']",产品|需求|项目类,产品经理,数据分析师,北京,房山区,5k-9k,13,不限,全职,本科,高成长性、团队氛围好、福利完善,39.749144,116.143267,"['工具软件', '数据分析']"
13,数据分析师,盛业恒泰投资,50-150人,金融,未融资,[],产品|需求|项目类,数据分析,数据分析,北京,朝阳区,8k-15k,0,不限,全职,大专,双休,39.919894,116.454562,"['大数据', '金融', '数据分析']"
14,数据分析师,皮皮pipi,50-150人,"游戏,社交",不需要融资,[],产品|需求|项目类,产品经理,数据分析师,武汉,江夏区,10k-15k,13,1-3年,全职,本科,晋升快，扁平化管理,30.457603,114.425905,['数据分析']
0,数据分析师,百变大侦探,15-50人,"移动互联网,文娱丨内容",不需要融资,"['年底双薪', '带薪年假', '股票期权', '扁平管理']",产品|需求|项目类,产品经理,数据分析师,北京,朝阳区,15k-25k,0,3-5年,全职,本科,五险一金 免费工作餐 定期体检,39.974830,116.500218,"['用户增长', '需求分析', '用户研究', '数据分析']"
1,数据分析师,italki,50-150人,"电商,教育",A轮,"['高端医疗保险', '国际化团队', '绩效奖金', '带薪年假']",产品|需求|项目类,产品经理,数据分析师,上海,黄浦区,10k-15k,13,1-3年,全职,本科,国际化团队，带薪年假多，全球市场,31.222057,121.457585,"['社交', 'C端产品', '在线教育产品', '需求分析', '教育', '数据分析']"
2,数据分析师,字节跳动,2000人以上,文娱丨内容,C轮,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",产品|需求|项目类,数据分析,数据分析,北京,海淀区,15k-30k,0,1-3年,全职,本科,"免费三餐,带薪休假,弹性工作,六险一金",39.971819,116.328708,['数据分析']
3,数据分析师,字节跳动,2000人以上,文娱丨内容,C轮,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",产品|需求|项目类,数据分析,数据分析,上海,闵行区,11k-22k,0,1-3年,全职,本科,"下午茶,健身瑜伽,六险一金,团队氛围好",31.168496,121.386878,"['产品', '数据分析']"
