公司,经纬度
拉勾网,"116.307747,39.982128"
平安人寿,"121.666906,31.238157"
平安人寿,"121.666906,31.238157"
快手,"116.298440,40.053389"
字节跳动,"116.328708,39.971819"
跟谁学,"116.282935,40.048632"
字节跳动,"121.386878,31.168496"
拉勾网,"116.307747,39.982128"
百变大侦探,"116.500218,39.974830"
世纪佳缘,"116.406840,39.974358"
世纪佳缘,"116.406840,39.974358"
优车库,"114.045254,22.507374"
智器云,"116.143267,39.749144"
盛业恒泰投资,"116.454562,39.919894"
皮皮pipi,"114.425905,30.457603"
百变大侦探,"116.500218,39.974830"
italki,"121.457585,31.222057"
字节跳动,"116.328708,39.971819"
字节跳动,"121.386878,31.168496"
优车库,"114.045254,22.507374"
智器云,"116.143267,39.749144"
爱问医联,"113.952487,22.535129"
360os,"116.490798,39.982769"
盛业恒泰投资,"116.454812,39.920432"
成都玛尔斯科技有限公司,"104.121569,30.766476"
齐聚科技（原呱呱视频）,"116.422789,39.951490"
浙江盘石,"120.113116,30.336361"
人人都是产品经理,"113.943289,22.549041"
人人公司,"116.496989,39.976297"
DataStory,"121.512779,31.260278"
易观,"116.494885,39.978305"
皮皮pipi,"114.425905,30.457603"
浙江盘石,"120.113116,30.336361"
星尘游戏,"113.944830,22.537843"
久谦咨询,"121.437780,31.194983"
众标智能科技,"121.383389,31.228218"
italki,"121.457585,31.222057"
动视云科技,"116.383365,39.970538"
360os,"116.490798,39.982769"
字节跳动,"116.369044,39.979578"
字节跳动,"116.369044,39.979578"
絮淑科技,"nan,nan"
无添加,"113.327077,23.118269"
成都玛尔斯科技有限公司,"104.121569,30.766476"
360数科,"116.490707,39.982794"
字节跳动,"120.046052,30.289958"
字节跳动,"116.352742,40.013248"
懒人科技,"113.933883,22.518858"
齐聚科技（原呱呱视频）,"116.422789,39.951490"
51社保网,"116.453331,39.906452"
熵商科技（ENTROBUS）,"113.397243,23.045368"
浙江盘石,"120.113116,30.336361"
51社保网,"116.453331,39.906452"
玄关健康,"113.948979,22.555423"
Keep,"116.485583,39.989577"
智器云,"87.655755,43.973579"
蘑菇公司,"113.952439,22.535752"
么么直播,"121.374390,31.172123"
中创碳投,"118.905181,32.077561"
广州银行信用卡中心,"113.331348,23.131477"
联元智能科技,"121.414281,31.267330"
数美,"116.465953,40.021083"
新明珠集团,"113.014427,22.957851"
字节跳动,"120.046052,30.289958"
字节跳动,"116.352742,40.013248"
大箴（杭州）科技有限公司,"120.123016,30.330837"
上海睿民,"116.660498,40.162024"
思为软件,"113.942755,22.524562"
小帮规划,"116.488885,39.999056"
盈富斯,"113.401635,22.943766"
时代区块链,"113.945943,22.547741"
好未来,"116.365021,40.080539"
无糖信息,"106.558912,29.519501"
金山办公软件,"121.603788,31.202542"
联联科技,"104.066627,30.546375"
海豚传媒,"116.309715,39.855537"
糗事百科,"113.993578,22.993680"
字节跳动,"121.439140,31.190859"
字节跳动,"119.255320,26.061698"
华录超清文化,"113.314819,23.123832"
参数,"113.296581,23.123309"
Helens,"113.911537,22.486094"
蜻蜓FM,"121.531282,31.218106"
融360,"116.312978,39.979691"
蜻蜓FM,"121.532279,31.218323"
省钱快报,"116.397686,39.951999"
智运通,"116.323564,39.961117"
Shopee,"121.403990,31.164065"
汇数智通,"120.369899,30.303210"
老虎集团,"116.445958,39.970685"
云码通,"106.649094,26.618427"
盛业恒泰投资,"116.454562,39.919894"
小鹅（小鹅通）,"113.943289,22.549041"
泰康保险集团,"116.274875,40.098795"
京东数字科技,"116.564383,39.786038"
广东智源,"113.273895,23.143929"
瑛麒动漫,"121.450553,31.185347"
字节跳动,"113.314909,23.073535"
字节跳动,"116.352742,40.013248"
有咖互动,"116.432958,39.922368"
鲸灵数据,"116.469593,40.013024"
新浪网,"116.276407,40.041445"
萨摩耶数科,"121.562577,31.158200"
音娱时光,"116.352145,39.977555"
萨摩耶数科,"113.943289,22.549041"
音娱时光,"116.352145,39.977555"
萨摩耶数科,"113.943289,22.549041"
泉后优品,"113.306237,23.219348"
算话智能科技有限公司,"121.297302,31.189954"
音智达,"121.425311,31.219261"
爱奇艺,"116.313228,39.983752"
Shopee,"121.403990,31.164065"
有车以后,"113.291230,23.092899"
樊登读书,"121.407040,31.206768"
唱吧-玩音乐，就上唱吧！,"116.466485,39.995197"
换换优品,"113.951781,22.532157"
美团,"116.486622,40.008142"
知网,"106.688760,26.570062"
盈众控股集团,"117.984639,24.489221"
字节跳动,"104.064492,30.543565"
字节跳动,"104.064492,30.543565"
字节跳动,"116.369044,39.979578"
嘉谊互娱,"104.044523,30.546486"
云启星辰,"113.936407,22.522776"
嗨学网,"104.094655,30.670286"
Convert lab,"121.432486,31.196247"
莉莉丝游戏,"121.392259,31.170277"
深圳市沃客非凡科技有限公司,"114.089586,22.544035"
大宇宙,"121.457579,31.225309"
贝壳,"116.305559,40.040145"
数美,"116.465953,40.021083"
微博,"120.119823,30.335525"
星石悦文,"104.091140,30.647160"
京东数字科技,"116.564383,39.786038"
字节跳动,"104.047534,30.581175"
京东数字科技,"116.564383,39.786038"
卡车之家,"116.538660,39.910210"
比心陪练,"121.399448,31.165362"
上海浩宜信息科技有限公司,"113.350663,23.118979"
小红书,"116.601144,39.948574"
乐易网络,"113.946915,22.544901"
尚德机构,"116.469157,40.019962"
得物App,"121.530215,31.272333"
如祺出行,"113.335173,23.106371"
完美世界,"116.423242,40.003347"
DataHunter,"116.334661,39.987243"
阿卡索外教网,"114.106928,22.558503"
字节跳动,"104.047534,30.581175"
字节跳动,"116.585137,39.910662"
杭州布谷科技有限责任公司,"120.003524,30.281375"
字节跳动,"113.888021,22.548721"
杭州布谷科技有限责任公司,"120.003524,30.281375"
网营科技,"120.068592,30.291030"
广发银行信用卡中心,"113.323343,23.119929"
爱问科技,"113.954518,22.539456"
本木医疗,"116.449843,39.919553"
NEXA,"104.084896,30.650513"
泰康在线,"116.272152,40.097801"
汇数智通,"120.369899,30.303210"
一面数据,"113.944830,22.537843"
新娱加传媒,"113.450281,23.099310"
上海唯都,"116.459360,39.955710"
联合飞创,"106.517270,29.610123"
字节跳动,"116.352742,40.013248"
字节跳动,"116.369044,39.979578"
联合飞创,"106.517270,29.610123"
达达集团,"121.515042,31.229046"
智品网络,"113.369895,23.117200"
掌门集团,"121.544379,31.221517"
佰聆数据,"106.558284,29.586453"
佰聆数据,"113.306881,23.131719"
映客直播,"113.321230,23.105685"
东莞美宜佳,"113.745011,23.024888"
玩吧,"116.436939,39.940498"
东莞美宜佳,"113.401953,23.125401"
联通大数据,"116.419344,39.952516"
华云中盛,"113.937732,22.545362"
永安在线,"113.946011,22.545669"
中佳兴证,"104.070326,30.659006"
数位科技,"113.945196,22.516477"
闪送,"116.305849,40.043285"
完美世界,"116.423242,40.003347"
土豆雅思,"116.465953,40.021082"
讯汇科技,"113.327728,23.120030"
北京中经惠众科技有限公司,"104.063214,30.581234"
花生日记,"113.384824,23.101343"
字节跳动,"108.946404,34.267258"
字节跳动,"112.545526,37.796590"
纵游互娱,"113.377014,23.125239"
最右,"116.368056,39.980092"
有品 PICOOC,"113.915440,22.491697"
火币网,"113.951610,22.542797"
闪送,"116.305849,40.043285"
知网,"116.355789,40.048024"
开思时代,"114.068214,22.630206"
开思时代,"114.068214,22.630206"
微财数科,"116.286250,40.207746"
VHS 好人生,"121.417920,31.217560"
VHS 好人生,"121.417920,31.217560"
信永中和,"116.435465,39.930762"
北银消费,"116.317222,39.981363"
FOTILE方太,"121.316810,30.314539"
火币网,"116.284706,40.049953"
汇信科技,"120.154433,30.275352"
绝味食品,"113.018920,28.209023"
幸福消费金融,"116.460635,39.896710"
联邦车网,"113.382897,23.094888"
KLOOK 客路旅行,"114.030246,22.533416"
婚礼纪,"120.112550,30.287650"
方纬科技,"118.226158,33.956493"
快手,"116.407526,39.904030"
拉勾网,"116.307747,39.982128"
拉勾网,"116.307747,39.982128"
云汉芯城,"121.325026,31.093229"
美团,"116.487760,40.008007"
百布,"113.327504,23.077989"
美团,"121.375077,31.218123"
百度,"nan,nan"
阿卡索外教网,"114.121301,22.540801"
跟谁学,"116.282935,40.048632"
莉莉丝游戏,"121.395334,31.160489"
东家,"120.041460,30.285820"
51Talk 无忧英语,"116.308144,40.045415"
土巴兔,"nan,nan"
联合金科信息科技有限公司,"113.939962,22.506695"
快手,"116.313599,40.053902"
吉比特,"113.972780,22.556001"
萌牙家,"121.554199,29.817087"
得物App,"121.530215,31.272333"
平安金服,"121.381215,31.220724"
平安金服,"114.107636,22.540466"
国誉信睿,"120.210146,30.204540"
