,store_id,city,channel,gender_group,age_group,wkd_ind,product,customer,revenue,order,quant,unit_cost
0,658,深圳,线下,Female,25-29,Weekday,当季新品,4,796.0,4,4,59
1,146,杭州,线下,Female,25-29,Weekday,运动,1,149.0,1,1,49
2,70,深圳,线下,Male,>=60,Weekday,T恤,2,178.0,2,2,49
3,658,深圳,线下,Female,25-29,Weekday,T恤,1,59.0,1,1,49
4,229,深圳,线下,Male,20-24,Weekend,袜子,2,65.0,2,3,9
5,28,武汉,线上,Female,35-39,Weekend,T恤,1,97.0,1,1,49
6,649,杭州,线下,Female,25-29,Weekend,短裤,1,33.0,1,1,19
7,520,杭州,线下,Male,>=60,Weekend,T恤,2,158.0,2,2,49
8,649,杭州,线下,Female,30-34,Weekend,牛仔裤,3,157.0,3,3,69
9,21,北京,线下,Female,45-49,Weekend,毛衣,1,199.0,1,1,99
10,208,重庆,线下,Male,20-24,Weekend,配件,1,149.0,1,1,29
11,437,重庆,线下,Female,20-24,Weekday,T恤,1,129.0,1,1,49
12,520,杭州,线下,Female,35-39,Weekend,当季新品,12,2050.0,12,12,59
13,611,深圳,线下,Male,30-34,Weekend,T恤,1,79.0,1,1,49
14,648,西安,线下,Male,20-24,Weekend,T恤,1,59.0,1,1,49
15,737,深圳,线下,Male,30-34,Weekend,短裤,1,33.0,1,1,19
16,32,武汉,线上,Male,35-39,Weekend,短裤,2,79.0,2,2,19
17,649,杭州,线下,Male,30-34,Weekday,袜子,1,19.0,1,1,9
18,208,重庆,线下,Female,30-34,Weekend,T恤,1,99.0,1,1,49
19,658,深圳,线下,Female,35-39,Weekday,牛仔裤,3,196.0,3,4,69
20,420,广州,线上,Male,>=60,Weekday,T恤,1,39.0,1,1,49
21,759,重庆,线下,Male,25-29,Weekend,T恤,1,59.0,1,1,49
22,802,西安,线下,Female,35-39,Weekday,短裤,1,39.0,1,1,19
23,19,南京,线下,Female,35-39,Weekend,T恤,4,176.0,4,4,49
24,231,广州,线下,Female,35-39,Weekend,T恤,3,114.0,3,3,49
25,375,广州,线上,Female,45-49,Weekday,当季新品,1,79.0,1,1,59
26,479,深圳,线下,Female,30-34,Weekday,配件,1,59.0,1,1,29
27,146,杭州,线下,Female,25-29,Weekday,T恤,1,79.0,1,1,49
28,759,重庆,线下,Female,25-29,Weekday,袜子,1,79.0,1,1,9
29,758,杭州,线下,Female,20-24,Weekday,短裤,1,33.0,1,1,19
30,68,重庆,线上,Female,50-54,Weekend,短裤,2,106.0,2,3,19
31,52,武汉,线上,Male,25-29,Weekend,T恤,1,99.0,1,1,49
32,229,深圳,线下,Female,35-39,Weekday,T恤,1,79.0,1,1,49
33,135,上海,线下,Female,30-34,Weekend,当季新品,1,49.0,1,1,59
34,336,西安,线下,Male,>=60,Weekday,T恤,1,79.0,1,1,49
35,142,上海,线下,Male,25-29,Weekday,毛衣,1,190.67,1,1,99
36,229,深圳,线下,Female,25-29,Weekend,当季新品,1,199.0,1,1,59
37,399,广州,线下,Male,30-34,Weekday,当季新品,1,55.0,1,1,59
38,519,杭州,线下,Female,35-39,Weekday,袜子,1,20.0,1,1,9
39,91,武汉,线上,Male,30-34,Weekday,短裤,1,33.0,1,1,19
40,19,南京,线下,Female,45-49,Weekday,毛衣,2,198.0,2,2,99
41,323,武汉,线下,Female,35-39,Weekday,T恤,1,59.0,1,1,49
42,649,杭州,线下,Male,25-29,Weekend,当季新品,1,54.0,1,1,59
43,738,深圳,线下,Female,40-44,Weekday,当季新品,2,288.0,2,2,59
44,315,武汉,线下,Female,25-29,Weekend,T恤,1,79.0,1,1,49
45,70,深圳,线下,Female,>=60,Weekend,配件,3,434.0,3,6,29
46,142,上海,线下,Female,20-24,Weekday,当季新品,1,76.0,1,1,59
47,248,杭州,线下,Female,45-49,Weekday,当季新品,1,54.0,1,1,59
48,146,杭州,线下,Male,35-39,Weekday,当季新品,1,75.0,1,1,59
49,207,上海,线上,Female,20-24,Weekend,T恤,1,99.0,1,1,49
50,32,武汉,线上,Female,50-54,Weekend,T恤,1,99.0,1,1,49
51,46,武汉,线下,Male,>=60,Weekend,短裤,1,33.0,1,1,19
52,611,深圳,线下,Female,25-29,Weekday,短裤,1,33.0,1,1,19
53,325,上海,线下,Female,50-54,Weekend,当季新品,1,79.0,1,1,59
54,430,成都,线下,Male,35-39,Weekend,裙子,1,79.0,1,1,59
55,315,武汉,线下,Female,35-39,Weekend,T恤,1,99.0,1,1,49
56,208,重庆,线下,Female,30-34,Weekend,当季新品,1,199.0,1,1,59
57,248,杭州,线下,Female,>=60,Weekend,配件,1,78.0,1,1,29
58,648,西安,线下,Male,25-29,Weekend,T恤,1,79.0,1,1,49
59,737,深圳,线下,Female,30-34,Weekday,短裤,2,66.0,2,2,19
60,737,深圳,线下,Female,30-34,Weekday,短裤,1,79.0,1,1,19
61,758,杭州,线下,Female,30-34,Weekend,T恤,1,99.0,1,1,49
62,19,南京,线下,Female,35-39,Weekend,T恤,2,197.0,2,2,49
63,437,重庆,线下,Female,>=60,Weekday,牛仔裤,1,199.0,1,1,69
64,737,深圳,线下,Female,20-24,Weekday,T恤,2,257.0,2,3,49
65,208,重庆,线下,Female,20-24,Weekday,T恤,1,59.0,1,1,49
66,315,武汉,线下,Female,20-24,Weekend,毛衣,1,199.0,1,1,99
67,280,深圳,线下,Female,30-34,Weekday,T恤,1,79.0,1,1,49
68,335,上海,线下,Female,35-39,Weekend,配件,1,149.0,1,1,29
69,148,深圳,线下,Female,30-34,Weekday,T恤,1,58.0,1,1,49
